DATA,LAHTI,PORVO,MUSTI,FLOW
6/5/2001,0,0,0,3.83
6/6/2001,0,0,0,3.83
6/7/2001,0.9,2.8,7.6,3.83
6/8/2001,0.5,0.2,0.3,3.83
6/9/2001,17.1,12.6,12.7,3.83
6/10/2001,3.3,9.6,3.2,3.83
6/11/2001,6.5,8,4.7,3.83
6/12/2001,19.5,17.6,16.3,4.35
6/13/2001,18.8,18.5,11,8.54
6/14/2001,9.1,17.3,34.8,28.42
6/15/2001,1.1,0,0,48.82
6/16/2001,0,0,0,48.55
6/17/2001,0.06,3,0.3,47.77
6/18/2001,0.06,0.5,0.4,43.06
6/19/2001,6.6,2.7,4.8,32.34
6/20/2001,3.3,8.3,2.9,22.4
6/21/2001,0.4,0.8,1,17.17
6/22/2001,0.9,0,0.06,16.12
6/23/2001,0,0,0,15.34
6/24/2001,0,0,0,15.34
6/25/2001,0,0,0,14.29
6/26/2001,0,0.4,0,11.94
6/27/2001,0,0,0,10.89
6/28/2001,0,0,0,8.28
6/29/2001,0,0,0,7.49
6/30/2001,0,0,0,6.45
7/1/2001,0.2,0.2,0.1,6.45
7/2/2001,0,0,0.1,5.14
7/3/2001,0.1,0,0,4.88
7/4/2001,0,0,0,4.88
7/5/2001,0,0,0,3.83
7/6/2001,0,0,0,3.57
7/7/2001,0,0,0,2.52
7/8/2001,0,0,0,2.26
7/9/2001,0,0,0.06,2.26
7/10/2001,1.4,0.06,0.9,2.26
7/11/2001,3.4,3,12.1,2.26
7/12/2001,1.8,0,0.06,2.26
7/13/2001,2.3,3,6,2.26
7/14/2001,1.6,0.1,0.4,2.26
7/15/2001,1.3,2.7,5.1,2.26
7/16/2001,1.6,4.9,2.1,2.26
7/17/2001,5.1,3.3,17.2,2.26
7/18/2001,17,28.3,29,2.78
7/19/2001,5.2,2.5,4.3,3.83
7/20/2001,0.1,0,0,7.49
7/21/2001,5.7,2.5,1.3,10.11
7/22/2001,0,0,0,9.32
7/23/2001,0,0,0,8.54
7/24/2001,0,0,0,5.14
7/25/2001,0.06,0,0,4.88
7/26/2001,0,0,1.2,4.88
7/27/2001,0,0,0,4.88
7/28/2001,0,0,0,4.88
7/29/2001,0,0,0,4.09
7/30/2001,8.7,7,2,3.83
7/31/2001,0.7,1,5.2,3.83
8/1/2001,0,0,0,3.83
8/2/2001,0,0,0,3.83
8/3/2001,0,0,0,3.83
8/4/2001,4.9,15.3,8.8,3.83
8/5/2001,1.4,7.5,3,3.83
8/6/2001,0.2,0.8,0.1,2.78
