date         value     avg     min     max
01.01.2017    9,52    7,84    0,60   37,00
02.01.2017    8,11    7,57    0,59   39,00
03.01.2017    7,54    7,16    0,59   34,00
04.01.2017    7,07    7,20    0,60   27,00
05.01.2017    6,39    7,02    0,60   42,00
06.01.2017    5,97    6,67    0,60   38,00
07.01.2017    5,57    6,48    0,60   29,00
08.01.2017    5,41    6,83    0,60   46,00
09.01.2017    5,28    7,17    0,61   45,00
10.01.2017    5,16    7,69    0,61   57,00
11.01.2017    4,84    7,90    0,63   58,00
12.01.2017    4,63    7,69    0,65   58,00
13.01.2017    4,50    7,53    0,68   56,00
14.01.2017    4,46    8,33    0,69   63,00
15.01.2017    4,39    8,47    0,70   52,00
16.01.2017    4,29    7,89    0,70   42,00
17.01.2017    4,20    7,70    0,71   38,00
18.01.2017    4,08    8,03    0,73   38,00
19.01.2017    3,98    8,04    0,76   38,00
20.01.2017    3,87    8,00    0,77   51,00
21.01.2017    3,74    7,83    0,77   50,00
22.01.2017    3,63    7,42    0,78   42,00
23.01.2017    3,60    7,00    0,79   33,00
24.01.2017    3,51    6,74    0,79   36,00
25.01.2017    3,43    6,66    0,80   45,00
26.01.2017    3,36    6,38    0,81   38,00
27.01.2017    3,31    6,08    0,82   32,00
28.01.2017    3,25    5,77    0,82   29,00
29.01.2017    3,20    5,48    0,82   25,00
30.01.2017    3,14    5,37    0,81   20,00
31.01.2017    3,08    5,15    0,81   21,00
01.02.2017    3,05    4,94    0,81   20,00
02.02.2017    3,02    4,80    0,82   19,60
03.02.2017    2,96    4,92    0,82   28,00
04.02.2017    2,93    5,28    0,81   26,00
05.02.2017    2,86    5,71    0,81   34,00
06.02.2017    2,85    6,11    0,80   47,00
07.02.2017    2,79    6,49    0,80   50,00
08.02.2017    2,73    6,76    0,79   55,00
09.02.2017    2,67    6,58    0,79   55,00
10.02.2017    2,67    6,75    0,78   67,00
11.02.2017    2,63    6,87    0,78   68,00
12.02.2017    2,63    6,62    0,78   63,00
13.02.2017    2,62    6,28    0,78   55,00
14.02.2017    2,61    5,89    0,77   49,00
15.02.2017    2,61    5,50    0,77   40,00
16.02.2017    2,60    5,31    0,77   38,00
17.02.2017    2,60    5,28    0,77   28,00
18.02.2017    2,60    5,33    0,77   38,00
19.02.2017    2,60    5,15    0,77   41,00
20.02.2017    3,17    4,93    0,77   37,00
21.02.2017    3,48    5,27    0,77   45,00
22.02.2017    3,56    5,70    0,77   68,00
23.02.2017    3,56    5,99    0,77   78,00
24.02.2017    3,49    5,84    0,77   75,00
25.02.2017    3,41    5,79    0,77   74,00
26.02.2017    3,31    6,06    0,77   70,00
27.02.2017    3,31    6,42    0,77   65,00
28.02.2017    3,34    7,19    0,77   74,00
01.03.2017    3,89    7,49    0,77   65,00
02.03.2017    8,60    7,10    0,77   55,00
03.03.2017   12,60    6,85    0,77   50,00
04.03.2017   14,20    6,33    0,77   44,00
05.03.2017   12,40    5,87    0,77   38,00
06.03.2017    9,80    5,49    0,77   36,00
07.03.2017    7,70    5,24    0,78   37,00
08.03.2017    6,70    5,07    0,79   33,00
09.03.2017    6,30    5,11    0,80   30,00
10.03.2017    6,10    5,23    0,80   26,00
11.03.2017    5,70    5,65    0,81   31,00
12.03.2017    5,70    6,03    0,81   34,00
13.03.2017    5,70    6,30    0,82   33,00
14.03.2017    6,50    6,37    0,83   34,00
15.03.2017    8,60    6,78    0,84   44,00
16.03.2017   21,00    6,67    0,84   49,00
17.03.2017   24,00    6,70    0,84   43,00
18.03.2017   25,00    6,70    0,85   48,00
19.03.2017   25,00    6,80    0,84   53,00
20.03.2017   24,00    7,45    0,82   59,00
21.03.2017   24,00    8,14    0,82   59,00
22.03.2017   27,00    9,13    0,82   65,00
23.03.2017   35,00   10,11    0,81   67,00
24.03.2017   35,00   10,54    0,81   73,00
25.03.2017   31,00   10,62    0,81   72,00
26.03.2017   25,00   10,67    0,80   70,00
27.03.2017   25,00   10,96    0,79   62,00
28.03.2017   28,00   11,15    0,79   54,00
29.03.2017   28,00   11,69    0,79   65,00
30.03.2017   24,00   12,88    0,80   74,00
31.03.2017   21,00   13,56    0,82   73,00
01.04.2017   19,00   14,85    0,84   77,00
02.04.2017   18,40   16,66    1,20   72,00
03.04.2017   21,00   19,06    1,34   64,00
04.04.2017   24,00   22,31    1,34   68,00
05.04.2017   26,00   25,11    1,00   90,00
06.04.2017   28,00   28,35    1,49   90,00
07.04.2017   31,00   30,14    1,69   85,00
08.04.2017   33,00   32,26    1,86  100,00
09.04.2017   32,00   34,59    2,60  107,00
10.04.2017   31,00   35,57    3,50  109,00
11.04.2017   30,00   36,52    3,60   97,00
12.04.2017   30,00   37,05    4,80  105,00
