date         value     avg     min     max
01.01.2020   17,95    8,58    0,60   37,00
02.01.2020   16,77    8,30    0,59   39,00
03.01.2020   15,55    8,14    0,59   34,00
04.01.2020   14,87    8,27    0,60   32,00
05.01.2020   13,90    7,93    0,60   42,00
06.01.2020   11,91    7,50    0,60   38,00
07.01.2020   12,19    7,20    0,60   29,00
08.01.2020   13,47    7,46    0,60   46,00
09.01.2020   19,46    7,96    0,61   45,00
10.01.2020   19,38    8,39    0,61   57,00
11.01.2020   14,09    8,48    0,63   58,00
12.01.2020   13,58    8,13    0,65   58,00
13.01.2020   15,02    7,80    0,68   56,00
14.01.2020   15,00    8,42    0,69   63,00
15.01.2020   16,66    8,49    0,70   52,00
16.01.2020   26,06    7,90    0,70   42,00
17.01.2020   25,09    7,69    0,71   38,00
18.01.2020   21,82    7,99    0,73   38,00
19.01.2020   20,21    7,95    0,76   38,00
20.01.2020   20,69    7,85    0,77   51,00
21.01.2020   19,03    7,64    0,77   50,00
22.01.2020   16,90    7,24    0,78   42,00
23.01.2020   14,75    6,80    0,79   33,00
24.01.2020   12,89    6,53    0,79   36,00
25.01.2020    9,95    6,42    0,80   45,00
26.01.2020   10,83    6,15    0,81   38,00
27.01.2020   11,64    5,88    0,82   32,00
28.01.2020   10,29    5,62    0,82   29,00
29.01.2020   11,00    5,43    0,82   25,00
30.01.2020   12,15    5,35    0,81   20,00
31.01.2020   14,16    5,20    0,81   21,00
01.02.2020   13,36    4,95    0,81   20,00
02.02.2020   19,40    4,76    0,82   19,60
03.02.2020   25,45    4,83    0,82   28,00
04.02.2020   18,71    5,13    0,81   26,00
05.02.2020   16,88    5,49    0,81   34,00
06.02.2020   13,80    5,84    0,80   47,00
07.02.2020   10,88    6,18    0,80   50,00
08.02.2020   12,31    6,46    0,79   55,00
09.02.2020   12,43    6,47    0,79   55,00
10.02.2020   18,61    7,01    0,78   67,00
11.02.2020   42,50    7,44    0,78   68,00
12.02.2020   44,47    7,30    0,78   63,00
13.02.2020   40,16    6,79    0,78   55,00
14.02.2020   34,96    6,27    0,77   49,00
15.02.2020   28,82    5,77    0,77   40,00
16.02.2020   26,09    5,47    0,77   38,00
17.02.2020   46,75    5,37    0,77   28,00
18.02.2020   61,28    5,37    0,77   38,00
19.02.2020   56,16    5,19    0,77   41,00
20.02.2020   48,34    5,02    0,77   37,00
21.02.2020   40,11    5,43    0,77   45,00
22.02.2020   36,42    5,92    0,77   68,00
23.02.2020   42,03    6,22    0,77   78,00
24.02.2020   40,51    6,21    0,77   75,00
25.02.2020   34,33    6,39    0,77   74,00
26.02.2020   28,25    6,61    0,77   70,00
27.02.2020   22,74    6,77    0,77   65,00
28.02.2020   20,59    7,37    0,77   74,00
29.02.2020   17,37    5,84    1,54   30,00
01.03.2020   16,43    7,56    0,77   65,00
02.03.2020   15,70    7,26    0,77   55,00
03.03.2020   15,87    7,20    0,77   50,00
04.03.2020   14,98    6,89    0,77   44,00
05.03.2020   18,91    6,57    0,77   39,00
06.03.2020   24,51    6,14    0,77   38,00
07.03.2020   22,54    5,81    0,78   37,00
08.03.2020   18,86    5,77    0,79   40,00
09.03.2020   16,57    6,22    0,80   54,00
10.03.2020   17,90    6,44    0,80   61,00
11.03.2020   25,88    6,86    0,81   60,00
12.03.2020   36,58    7,16    0,81   58,00
13.03.2020   39,43    7,23    0,82   51,00
14.03.2020   38,04    7,16    0,83   43,00
15.03.2020   29,38    7,42    0,84   44,00
16.03.2020   24,51    7,43    0,84   49,00
17.03.2020   21,48    7,50    0,84   43,00
18.03.2020   19,51    7,56    0,85   48,00
19.03.2020   22,15    7,57    0,84   53,00
20.03.2020   22,87    8,03    0,82   59,00
21.03.2020   19,67    8,58    0,82   59,00
22.03.2020   16,20    9,51    0,82   65,00
23.03.2020   14,55   10,58    0,81   67,00
24.03.2020   13,64   10,97    0,81   73,00
25.03.2020   12,79   10,97    0,81   72,00
26.03.2020   12,19   10,89    0,80   70,00
27.03.2020   11,32   11,22    0,79   62,00
28.03.2020   10,42   12,00    0,79   54,00
29.03.2020    9,90   12,83    0,79   65,00
30.03.2020    9,24   14,00    0,80   74,00
31.03.2020    8,17   14,67    0,82   73,00
01.04.2020    7,80   16,02    0,84   77,00
02.04.2020    7,97   17,56    1,20   72,00
