date         value     avg     min     max
01.01.2015    8,28    7,84    0,60   37,00
02.01.2015   10,84    7,57    0,59   39,00
03.01.2015   27,17    7,16    0,59   34,00
04.01.2015   32,01    7,20    0,60   27,00
05.01.2015   25,54    7,02    0,60   42,00
06.01.2015   18,53    6,67    0,60   38,00
07.01.2015   14,27    6,48    0,60   29,00
08.01.2015   12,65    6,83    0,60   46,00
09.01.2015   12,06    7,17    0,61   45,00
10.01.2015   11,04    7,69    0,61   57,00
11.01.2015   10,03    7,90    0,63   58,00
12.01.2015    8,89    7,69    0,65   58,00
13.01.2015    7,76    7,53    0,68   56,00
14.01.2015    7,56    8,33    0,69   63,00
15.01.2015    7,37    8,47    0,70   52,00
16.01.2015    7,03    7,89    0,70   42,00
17.01.2015    8,04    7,70    0,71   38,00
18.01.2015   10,75    8,03    0,73   38,00
19.01.2015   10,85    8,04    0,76   38,00
20.01.2015    9,98    8,00    0,77   51,00
21.01.2015    8,84    7,83    0,77   50,00
22.01.2015    7,82    7,42    0,78   42,00
23.01.2015    7,09    7,00    0,79   33,00
24.01.2015    6,50    6,74    0,79   36,00
25.01.2015    6,06    6,66    0,80   45,00
26.01.2015    5,71    6,38    0,81   38,00
27.01.2015    5,40    6,08    0,82   32,00
28.01.2015    5,12    5,77    0,82   29,00
29.01.2015    4,90    5,48    0,82   25,00
30.01.2015    4,69    5,37    0,81   20,00
31.01.2015    4,47    5,15    0,81   21,00
01.02.2015    4,33    4,94    0,81   20,00
02.02.2015    4,19    4,80    0,82   19,60
03.02.2015    4,03    4,92    0,82   28,00
04.02.2015    3,97    5,28    0,81   26,00
05.02.2015    3,86    5,71    0,81   34,00
06.02.2015    3,78    6,11    0,80   47,00
07.02.2015    3,70    6,49    0,80   50,00
08.02.2015    3,64    6,76    0,79   55,00
09.02.2015    3,62    6,58    0,79   55,00
10.02.2015    3,54    6,75    0,78   67,00
11.02.2015    3,52    6,87    0,78   68,00
12.02.2015    3,50    6,62    0,78   63,00
13.02.2015    3,50    6,28    0,78   55,00
14.02.2015    3,44    5,89    0,77   49,00
15.02.2015    3,30    5,50    0,77   40,00
16.02.2015    3,16    5,31    0,77   38,00
17.02.2015    3,14    5,28    0,77   28,00
18.02.2015    3,18    5,33    0,77   38,00
19.02.2015    3,26    5,15    0,77   41,00
20.02.2015    5,23    4,93    0,77   37,00
21.02.2015   12,32    5,27    0,77   45,00
22.02.2015   18,87    5,70    0,77   68,00
23.02.2015   21,42    5,99    0,77   78,00
24.02.2015   21,62    5,84    0,77   75,00
25.02.2015   27,50    5,79    0,77   74,00
26.02.2015   31,17    6,06    0,77   70,00
27.02.2015   29,17    6,42    0,77   65,00
28.02.2015   26,37    7,19    0,77   74,00
01.03.2015   23,60    7,49    0,77   65,00
02.03.2015   22,38    7,10    0,77   55,00
03.03.2015   27,29    6,85    0,77   50,00
04.03.2015   34,80    6,33    0,77   44,00
05.03.2015   39,26    5,87    0,77   38,00
06.03.2015   37,77    5,49    0,77   36,00
07.03.2015   35,39    5,24    0,78   37,00
08.03.2015   40,67    5,07    0,79   33,00
09.03.2015   54,10    5,11    0,80   30,00
10.03.2015   61,00    5,23    0,80   26,00
11.03.2015   60,57    5,65    0,81   31,00
12.03.2015   58,28    6,03    0,81   34,00
13.03.2015   51,25    6,30    0,82   33,00
14.03.2015   43,20    6,37    0,83   34,00
15.03.2015   36,43    6,78    0,84   44,00
16.03.2015   31,64    6,67    0,84   49,00
17.03.2015   27,38    6,70    0,84   43,00
18.03.2015   24,23    6,70    0,85   48,00
19.03.2015   21,70    6,80    0,84   53,00
20.03.2015   19,98    7,45    0,82   59,00
21.03.2015   18,12    8,14    0,82   59,00
22.03.2015   15,48    9,13    0,82   65,00
23.03.2015   13,62   10,11    0,81   67,00
24.03.2015   13,58   10,54    0,81   73,00
25.03.2015   14,35   10,62    0,81   72,00
26.03.2015   13,98   10,67    0,80   70,00
