date         value     avg     min     max
01.01.2016    5,30    7,84    0,60   37,00
02.01.2016    4,79    7,57    0,59   39,00
03.01.2016    4,24    7,16    0,59   34,00
04.01.2016    3,39    7,20    0,60   27,00
05.01.2016    2,98    7,02    0,60   42,00
06.01.2016    2,85    6,67    0,60   38,00
07.01.2016    2,40    6,48    0,60   29,00
08.01.2016    2,34    6,83    0,60   46,00
09.01.2016    2,17    7,17    0,61   45,00
10.01.2016    1,89    7,69    0,61   57,00
11.01.2016    1,77    7,90    0,63   58,00
12.01.2016    1,66    7,69    0,65   58,00
13.01.2016    1,61    7,53    0,68   56,00
14.01.2016    1,59    8,33    0,69   63,00
15.01.2016    1,55    8,47    0,70   52,00
16.01.2016    1,52    7,89    0,70   42,00
17.01.2016    1,51    7,70    0,71   38,00
18.01.2016    1,47    8,03    0,73   38,00
19.01.2016    1,45    8,04    0,76   38,00
20.01.2016    1,44    8,00    0,77   51,00
21.01.2016    1,42    7,83    0,77   50,00
22.01.2016    1,42    7,42    0,78   42,00
23.01.2016    1,42    7,00    0,79   33,00
24.01.2016    1,41    6,74    0,79   36,00
25.01.2016    1,44    6,66    0,80   45,00
26.01.2016    1,49    6,38    0,81   38,00
27.01.2016    2,34    6,08    0,82   32,00
28.01.2016    3,66    5,77    0,82   29,00
29.01.2016    8,55    5,48    0,82   25,00
30.01.2016    9,55    5,37    0,81   20,00
31.01.2016   12,42    5,15    0,81   21,00
01.02.2016    9,60    4,94    0,81   20,00
02.02.2016    6,51    4,80    0,82   19,60
03.02.2016    5,36    4,92    0,82   28,00
04.02.2016    4,77    5,28    0,81   26,00
05.02.2016    4,40    5,71    0,81   34,00
06.02.2016    4,09    6,11    0,80   47,00
07.02.2016    4,14    6,49    0,80   50,00
08.02.2016    7,10    6,76    0,79   55,00
09.02.2016   17,00    6,58    0,79   55,00
10.02.2016   38,33    6,75    0,78   67,00
11.02.2016   56,67    6,87    0,78   68,00
12.02.2016   59,99    6,62    0,78   63,00
13.02.2016   49,58    6,28    0,78   55,00
14.02.2016   39,48    5,89    0,77   49,00
15.02.2016   31,66    5,50    0,77   40,00
16.02.2016   24,71    5,31    0,77   38,00
17.02.2016   20,37    5,28    0,77   28,00
18.02.2016   17,56    5,33    0,77   38,00
19.02.2016   16,38    5,15    0,77   41,00
20.02.2016   15,41    4,93    0,77   37,00
21.02.2016   13,55    5,27    0,77   45,00
22.02.2016   12,23    5,70    0,77   68,00
23.02.2016   11,37    5,99    0,77   78,00
24.02.2016   10,30    5,84    0,77   75,00
25.02.2016    9,80    5,79    0,77   74,00
26.02.2016    9,10    6,06    0,77   70,00
27.02.2016    8,10    6,42    0,77   65,00
28.02.2016    7,90    7,19    0,77   74,00
29.02.2016    7,30    5,91    1,54   30,00
01.03.2016    7,10    7,49    0,77   65,00
02.03.2016    6,90    7,10    0,77   55,00
03.03.2016    6,50    6,85    0,77   50,00
04.03.2016    6,30    6,33    0,77   44,00
05.03.2016    6,30    5,87    0,77   38,00
06.03.2016    6,10    5,49    0,77   36,00
07.03.2016    5,90    5,24    0,78   37,00
08.03.2016    6,10    5,07    0,79   33,00
09.03.2016    5,90    5,11    0,80   30,00
10.03.2016    6,50    5,23    0,80   26,00
11.03.2016    6,50    5,65    0,81   31,00
12.03.2016    6,30    6,03    0,81   34,00
13.03.2016    6,30    6,30    0,82   33,00
14.03.2016    6,50    6,37    0,83   34,00
15.03.2016    6,90    6,78    0,84   44,00
16.03.2016    7,70    6,67    0,84   49,00
17.03.2016   12,90    6,70    0,84   43,00
18.03.2016   21,00    6,70    0,85   48,00
19.03.2016   19,60    6,80    0,84   53,00
20.03.2016   15,10    7,45    0,82   59,00
21.03.2016   13,20    8,14    0,82   59,00
22.03.2016   11,00    9,13    0,82   65,00
23.03.2016   10,10   10,11    0,81   67,00
24.03.2016    8,80   10,54    0,81   73,00
25.03.2016    7,90   10,62    0,81   72,00
26.03.2016    7,70   10,67    0,80   70,00
27.03.2016   12,00   10,96    0,79   62,00
28.03.2016   31,00   11,15    0,79   54,00
29.03.2016   41,08   11,69    0,79   65,00
30.03.2016   43,00   12,88    0,80   74,00
31.03.2016   43,00   13,56    0,82   73,00
01.04.2016   41,00   14,85    0,84   77,00
02.04.2016   38,00   16,66    1,20   72,00
03.04.2016   37,00   19,06    1,34   64,00
04.04.2016   34,00   22,29    1,34   68,00
05.04.2016   32,00   25,11    1,00   90,00
06.04.2016   31,00   28,35    1,49   90,00
07.04.2016   36,00   30,14    1,69   85,00
08.04.2016   41,00   32,27    1,86  100,00
09.04.2016   40,00   34,59    2,60  107,00
10.04.2016   37,00   35,57    3,50  109,00
11.04.2016   33,00   36,51    3,60   97,00
12.04.2016   30,00   37,05    4,80  105,00
13.04.2016   26,00   39,78    5,00  119,00
14.04.2016   23,00   41,03    5,30  158,00
15.04.2016   21,00   41,15    6,30  145,00
16.04.2016   18,70   41,93    7,70  148,00
17.04.2016   17,00   42,68    8,10  151,00
18.04.2016   16,70   44,85    8,60  143,00
19.04.2016   18,40   46,49    9,10  134,00
20.04.2016   18,10   45,50   11,30  124,00
21.04.2016   16,70   45,93   12,00  112,00
22.04.2016   15,60   45,06   11,80  100,00
23.04.2016   14,70   42,44   13,20   93,00
24.04.2016   13,90   40,19   12,30   86,00
25.04.2016   16,70   37,98   11,30   87,00
26.04.2016   23,00   36,57   10,30   93,00
27.04.2016   43,00   35,33    8,10   93,00
28.04.2016   54,00   34,17    8,10   98,00
29.04.2016   55,00   33,31    9,10  101,00
30.04.2016   52,00   32,48    8,30  105,00
01.05.2016   47,63   31,85    7,50  127,00
02.05.2016   44,16   31,76    7,50  172,00
03.05.2016   37,76   31,80    6,90  191,00
04.05.2016   31,76   30,76    6,70  203,00
05.05.2016   26,30   29,67    6,70  191,00
06.05.2016   22,12   28,67    6,30  177,00
07.05.2016   18,85   27,69    5,50  160,00
08.05.2016   16,40   25,85    5,30  134,00
09.05.2016   14,42   24,44    4,92  124,00
10.05.2016   12,60   22,34    4,70  113,00
11.05.2016   10,80   20,70    4,40  100,00
12.05.2016    9,48   19,29    4,10   88,00
13.05.2016    8,22   17,86    3,60   77,00
14.05.2016    7,48   16,85    2,60   74,00
15.05.2016    7,39   15,78    2,50   62,00
16.05.2016    7,66   15,82    2,40   72,00
17.05.2016    7,42   14,32    2,40   46,00
18.05.2016    6,80   14,05    2,53   38,00
19.05.2016    6,10   13,01    2,73   38,00
20.05.2016    5,76   12,03    2,90   33,00
21.05.2016    5,26   11,10    2,80   27,00
22.05.2016    5,00   10,59    2,80   30,00
23.05.2016    4,66    9,89    2,80   28,00
24.05.2016    4,35    9,54    2,80   35,00
25.05.2016    4,14    9,34    2,90   34,00
26.05.2016    3,68    8,74    2,90   28,00
27.05.2016    4,64    8,93    3,11   43,00
28.05.2016    6,01    8,55    2,92   48,00
29.05.2016    5,89    8,03    2,73   37,00
30.05.2016    5,20    7,66    2,81   26,00
31.05.2016    4,55    7,41    2,70   23,00
01.06.2016    3,91    7,02    2,60   19,00
02.06.2016    3,90    6,96    2,50   25,00
03.06.2016    3,93    6,47    2,40   19,60
04.06.2016    3,56    6,04    2,30   15,90
05.06.2016    3,34    5,93    2,30   16,40
06.06.2016    3,23    5,85    1,90   15,10
07.06.2016    3,21    5,60    1,90   12,90
08.06.2016    3,18    5,23    2,00   14,20
09.06.2016    3,16    5,07    1,80   22,00
10.06.2016    3,34    5,29    2,00   44,00
11.06.2016    3,30    5,15    2,10   44,00
12.06.2016    3,19    4,96    2,00   34,00
13.06.2016    3,10    4,99    2,00   25,00
14.06.2016    2,92    6,11    1,80   36,00
15.06.2016    2,90    6,62    1,60   55,00
16.06.2016    3,20    6,46    1,80   45,00
17.06.2016    4,38    6,51    1,70   40,00
18.06.2016    6,89    6,52    1,60   49,00
19.06.2016    9,86    6,56    1,60   40,00
20.06.2016   10,30    6,19    1,40   30,00
21.06.2016    7,97    5,65    1,20   31,00
22.06.2016    6,10    5,35    1,20   33,00
23.06.2016    5,20    4,99    1,20   28,00
24.06.2016    4,49    5,07    1,10   27,00
25.06.2016    4,21    5,42    1,20   35,00
